"SP500_lag2","IndexDiv_lag1","Loss"
-37.3737373737374,-93.9393939393939,21331.1244355205
-35.3535353535353,-93.9393939393939,20359.3390353038
-33.3333333333333,-93.9393939393939,19391.569243356
-31.3131313131313,-93.9393939393939,18432.0932191242
-29.2929292929293,-93.9393939393939,17485.7761866382
-27.2727272727273,-93.9393939393939,16555.0413546885
-25.2525252525252,-93.9393939393939,15661.4435792663
-23.2323232323232,-93.9393939393939,14796.2835177423
-21.2121212121212,-93.9393939393939,13948.0760228972
-19.1919191919192,-93.9393939393939,13109.75347532
-17.1717171717172,-93.9393939393939,12289.3287460202
-15.1515151515151,-93.9393939393939,11495.3217823651
-13.1313131313131,-93.9393939393939,10718.6862404801
-11.1111111111111,-93.9393939393939,9969.71870311419
-9.09090909090908,-93.9393939393939,9233.47331795329
-7.07070707070706,-93.9393939393939,8466.9535944427
-5.05050505050504,-93.9393939393939,7721.17063841201
-3.03030303030303,-93.9393939393939,6990.25177135225
-1.01010101010101,-93.9393939393939,6290.25821209012
1.01010101010101,-93.9393939393939,5844.55026217025
3.03030303030303,-93.9393939393939,5218.58270089561
5.05050505050505,-93.9393939393939,4632.90855497926
7.07070707070707,-93.9393939393939,4079.82860986568
9.09090909090909,-93.9393939393939,3561.00548099174
11.1111111111111,-93.9393939393939,3060.03573222899
13.1313131313131,-93.9393939393939,2597.4414431608
15.1515151515152,-93.9393939393939,2166.93838400861
17.1717171717172,-93.9393939393939,1774.5982995802
19.1919191919192,-93.9393939393939,1422.52144149907
21.2121212121212,-93.9393939393939,1107.78893832501
23.2323232323232,-93.9393939393939,825.971851988817
25.2525252525253,-93.9393939393939,585.837376290886
27.2727272727273,-93.9393939393939,392.80694480799
29.2929292929293,-93.9393939393939,235.385068750342
31.3131313131313,-93.9393939393939,117.276710376594
33.3333333333333,-93.9393939393939,40.7338427822321
35.3535353535354,-93.9393939393939,3.78083704428579
37.3737373737374,-93.9393939393939,6.5056374592356
39.3939393939394,-93.9393939393939,51.9102448691079
